PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Embarked,FareC
95,0,3,0,,0,0,S,39.20
96,0,1,0,71.0,0,0,C,168.77
97,1,1,0,23.0,0,1,C,205.70
98,1,2,1,34.0,0,1,S,56.01
99,0,2,0,34.0,1,0,S,63.31
100,0,3,1,28.0,0,0,S,38.45
101,0,3,0,,0,0,S,38.45
102,0,1,0,21.0,0,1,S,188.20
103,0,3,0,33.0,0,0,S,42.15
104,0,3,0,37.0,2,0,S,12.86
105,0,3,0,28.0,0,0,S,38.45
106,1,3,1,21.0,0,0,S,37.26
107,1,3,0,,0,0,S,37.86
108,0,3,0,38.0,0,0,S,38.45
109,1,3,1,,1,0,Q,33.72
110,0,1,0,47.0,0,0,S,126.62
111,0,3,1,14.5,1,0,C,35.20
112,0,3,0,22.0,0,0,S,39.20
113,0,3,1,20.0,1,0,S,23.92
114,0,3,1,17.0,0,0,C,35.21
115,0,3,0,21.0,0,0,S,38.59
116,0,3,0,70.5,0,0,Q,32.46
117,0,2,0,29.0,1,0,S,51.14
118,0,1,0,24.0,0,1,C,602.71
119,0,3,1,2.0,4,2,S,21.76
120,0,2,0,21.0,2,0,S,71.59
121,0,3,0,,0,0,S,39.20
122,0,2,0,32.5,1,0,C,15.04
123,1,2,1,32.5,0,0,S,63.31
124,0,1,0,54.0,0,1,S,188.20
125,1,3,0,12.0,1,0,C,27.37
126,0,3,0,,0,0,Q,32.46
127,1,3,0,24.0,0,0,S,34.78
128,1,3,1,,1,1,C,54.44
129,0,3,0,45.0,0,0,S,33.97
130,0,3,0,33.0,0,0,C,38.45
131,0,3,0,20.0,0,0,S,34.33
132,0,3,1,47.0,1,0,S,35.31
133,1,2,1,29.0,1,0,S,63.31
134,0,2,0,25.0,0,0,S,63.31
135,0,2,0,23.0,0,0,C,73.27
136,1,1,1,19.0,0,2,S,51.20
137,0,1,0,37.0,1,0,S,129.30
138,0,3,0,16.0,0,0,S,22.44
139,0,1,0,24.0,0,0,C,192.85
140,0,3,1,,0,2,C,37.12
141,1,3,1,22.0,0,0,S,37.74
142,1,3,1,24.0,1,0,S,38.59
143,0,3,0,19.0,0,0,Q,28.27
144,0,2,0,18.0,0,0,S,56.01
145,0,2,0,19.0,1,1,S,71.59
146,1,3,0,27.0,0,0,S,37.97
147,0,3,1,9.0,2,2,S,41.85
148,0,2,0,36.5,0,2,S,42.21
149,0,2,0,42.0,0,0,S,63.31
150,0,2,0,51.0,0,0,S,61.00
151,1,1,1,22.0,1,0,S,162.17
152,0,3,0,55.5,0,0,S,39.20
153,0,3,0,40.5,0,2,S,35.31
154,0,3,0,,0,0,S,35.61
155,0,1,0,51.0,0,1,C,199.28
156,1,3,1,16.0,0,0,Q,32.39
157,0,3,0,30.0,0,0,S,39.20
158,0,3,0,,0,0,S,42.19
159,0,3,0,,8,2,S,48.39
160,0,3,0,44.0,0,1,S,52.27
161,1,2,1,40.0,0,0,S,76.70
162,0,3,0,26.0,0,0,S,37.86
163,0,3,0,17.0,0,0,S,42.19
164,0,3,0,1.0,4,1,S,32.21
165,1,3,0,9.0,0,2,S,33.32
166,1,1,1,,0,1,S,133.93
167,0,3,1,45.0,1,4,S,22.65
168,0,1,0,,0,0,S,126.25
169,0,3,0,28.0,0,0,S,39.30
170,0,1,0,61.0,0,0,S,163.15
171,0,3,0,4.0,4,1,Q,24.40
172,1,3,1,1.0,1,1,S,18.07
173,0,3,0,21.0,0,0,S,38.59
174,0,1,0,56.0,0,0,C,30.70
175,0,3,0,18.0,1,1,S,15.30
176,0,3,0,,3,1,S,31.01
177,0,1,1,50.0,0,0,C,139.83
178,0,2,0,30.0,0,0,S,63.31
179,0,3,0,36.0,0,0,S,0.00
180,0,3,1,,8,2,S,48.39
181,0,2,0,,0,0,C,73.29
182,0,3,0,9.0,4,2,S,33.97
183,1,2,0,1.0,2,1,S,75.97
184,1,3,1,4.0,0,2,S,42.90
185,0,1,0,,0,0,S,243.50
186,1,3,1,,1,0,Q,32.46
187,1,1,0,45.0,0,0,S,129.30
188,0,3,0,40.0,1,1,Q,25.97
189,0,3,0,36.0,0,0,S,38.45
190,1,2,1,32.0,0,0,S,63.31
191,0,2,0,19.0,0,0,S,63.31
192,1,3,1,19.0,1,0,S,19.12
193,1,2,0,3.0,1,1,S,42.21
194,1,1,1,44.0,0,0,C,135.00
195,1,1,1,58.0,0,0,C,356.78
196,0,3,0,,0,0,Q,32.46
197,0,3,0,42.0,0,1,S,27.29
198,1,3,1,,0,0,Q,32.46
199,0,2,1,24.0,0,0,S,63.31
200,0,3,0,28.0,0,0,S,46.27
201,0,3,0,,8,2,S,33.87
202,0,3,0,34.0,0,0,S,31.63
203,0,3,0,45.5,0,0,C,35.19
204,1,3,0,18.0,0,0,S,39.20
205,0,3,1,2.0,0,1,S,25.48
206,0,3,0,32.0,1,0,S,38.59
207,1,3,0,26.0,0,0,C,45.75
208,1,3,1,16.0,0,0,Q,32.46
209,1,1,0,40.0,0,0,C,31.00
210,0,3,0,24.0,0,0,S,34.33
211,1,2,1,35.0,0,0,S,102.27
212,0,3,0,22.0,0,0,S,35.31
213,0,2,0,30.0,0,0,S,63.31
214,0,3,0,,1,0,Q,16.23
215,1,1,1,31.0,1,0,C,37.76
216,1,3,1,27.0,0,0,S,38.59
217,0,2,0,42.0,1,0,S,65.75
218,1,1,1,32.0,0,0,C,76.29
219,0,2,0,30.0,0,0,S,51.14
220,1,3,0,16.0,0,0,S,39.20
221,0,2,0,27.0,0,0,S,63.31
222,0,3,0,51.0,0,0,S,39.20
223,0,3,0,,0,0,S,38.45
224,1,1,0,38.0,1,0,S,219.15
225,0,3,0,22.0,0,0,S,45.53
226,1,2,0,19.0,0,0,S,51.14
227,0,3,0,20.5,0,0,S,35.31
228,0,2,0,18.0,0,0,S,63.31
229,0,3,1,,3,1,S,31.01
230,1,1,1,35.0,1,0,S,203.26
231,0,3,0,29.0,0,0,S,37.86
232,0,2,0,59.0,0,0,S,65.75
233,1,3,1,5.0,4,2,S,33.97
234,0,2,0,24.0,0,0,S,51.14
235,0,3,1,,0,0,S,36.77
236,0,2,0,44.0,1,0,S,63.31
237,1,2,1,8.0,0,2,S,42.61
238,0,2,0,19.0,0,0,S,51.14
239,0,2,0,33.0,0,0,S,59.78
240,0,3,1,,1,0,C,35.20
241,1,3,1,,1,0,Q,32.46
242,0,2,0,29.0,0,0,S,51.14
243,0,3,0,22.0,0,0,S,34.70
244,0,3,0,30.0,0,0,C,35.19
245,0,1,0,44.0,2,0,Q,125.65
246,0,3,1,25.0,0,0,S,37.86
247,1,2,1,24.0,0,2,S,35.31
248,1,1,0,37.0,1,1,S,102.38
249,0,2,0,54.0,1,0,S,63.31
250,0,3,0,,0,0,S,35.31
251,0,3,1,29.0,1,1,S,20.38
252,0,1,0,62.0,0,0,S,129.30
253,0,3,0,30.0,1,0,S,39.20
254,0,3,1,41.0,0,2,S,49.22
255,1,3,1,29.0,0,2,C,37.12
256,1,1,1,,0,0,C,385.70
257,1,1,1,30.0,0,0,S,140.42
258,1,1,1,35.0,0,0,C,831.68
259,1,2,1,50.0,0,1,S,63.31
260,0,3,0,,0,0,Q,32.46
261,1,3,0,3.0,4,2,S,33.97
262,0,1,0,52.0,1,1,S,129.30
263,0,1,0,40.0,0,0,S,0.00
264,0,3,1,,0,0,Q,32.46
265,0,2,0,36.0,0,0,S,51.14
266,0,3,0,16.0,4,1,S,32.21
267,1,3,0,25.0,1,0,S,18.93
268,1,1,1,58.0,0,1,S,249.12
269,1,1,1,35.0,0,0,S,220.18
270,0,1,0,,0,0,S,75.49
271,1,3,0,25.0,0,0,S,0.00
272,1,2,1,41.0,0,1,S,47.48
273,0,1,0,37.0,0,1,C,96.43
274,1,3,1,,0,0,Q,32.46
275,1,1,1,63.0,1,0,S,126.55
276,0,3,1,45.0,0,0,S,37.74
277,0,2,0,,0,0,S,0.00
278,0,3,0,7.0,4,1,Q,24.40
279,1,3,1,35.0,1,1,S,39.45
280,0,3,0,65.0,0,0,Q,32.46
281,0,3,0,28.0,0,0,S,38.25
282,0,3,0,16.0,0,0,S,46.27
283,1,3,0,19.0,0,0,S,39.20
284,0,1,0,,0,0,S,126.62
285,0,3,0,33.0,0,0,C,42.19
286,1,3,0,30.0,0,0,S,46.27
287,0,3,0,22.0,0,0,S,38.45
288,1,2,0,42.0,0,0,S,63.31
289,1,3,1,22.0,0,0,Q,32.46
290,1,1,1,26.0,0,0,S,192.00
291,1,1,1,19.0,1,0,C,45.54
292,0,2,0,36.0,0,0,C,62.70
293,0,3,1,24.0,0,0,S,43.10
294,0,3,0,24.0,0,0,S,38.45
295,0,1,0,,0,0,C,135.00
296,0,3,0,23.5,0,0,C,35.21
297,0,1,1,2.0,1,2,S,184.51
298,1,1,0,,0,0,S,148.54
299,1,1,1,50.0,0,1,C,602.71
300,1,3,1,,0,0,Q,32.46
301,1,3,0,,2,0,Q,32.46
302,0,3,0,19.0,0,0,S,0.00
303,1,2,1,,0,0,Q,51.72
304,0,3,0,,0,0,S,39.20
305,1,1,0,0.92,1,2,S,184.51
306,1,1,1,,0,0,C,27.72
307,1,1,1,17.0,1,0,C,265.17
308,0,2,0,30.0,1,0,C,12.00
309,1,1,1,30.0,0,0,C,138.62
310,1,1,1,24.0,0,0,C,41.58
311,1,1,1,18.0,2,2,C,365.08
312,0,2,1,26.0,1,1,S,50.65
313,0,3,0,28.0,0,0,S,38.45
314,0,2,0,43.0,1,1,S,42.61
315,1,3,1,26.0,0,0,S,38.25
316,1,2,1,24.0,1,0,S,63.31
317,0,2,0,54.0,0,0,S,68.18
318,1,1,1,31.0,0,2,S,321.16
319,1,1,1,40.0,1,1,C,53.80
320,0,3,0,22.0,0,0,S,35.31
321,0,3,0,27.0,0,0,S,38.45
322,1,2,1,30.0,0,0,Q,51.72
323,1,2,1,22.0,1,1,S,56.49
324,0,3,0,,8,2,S,33.87
325,1,1,1,36.0,0,0,C,220.18
326,0,3,0,61.0,0,0,S,30.38
327,1,2,1,36.0,0,0,S,63.31
328,1,3,1,31.0,1,1,S,33.32
329,1,1,1,16.0,0,1,C,28.99
330,1,3,1,,2,0,Q,32.46
331,0,1,0,45.5,0,0,S,138.80
332,0,1,0,38.0,0,1,S,249.12
333,0,3,0,16.0,2,0,S,29.22
334,1,1,1,,1,0,S,325.44
335,0,3,0,,0,0,S,38.45
336,0,1,0,29.0,1,0,S,162.17
337,1,1,1,41.0,0,0,C,67.25
338,1,3,0,45.0,0,0,S,39.20
339,0,1,0,45.0,0,0,S,172.89
340,1,2,0,2.0,1,1,S,42.21
341,1,1,1,24.0,3,2,S,320.20
342,0,2,0,28.0,0,0,S,63.31
343,0,2,0,25.0,0,0,S,63.31
344,0,2,0,36.0,0,0,S,63.31
345,1,2,1,24.0,0,0,S,63.31
346,1,2,1,40.0,0,0,S,63.31
347,1,3,1,,1,0,S,39.20
348,1,3,0,3.0,1,1,S,38.72
349,0,3,0,42.0,0,0,S,42.19
350,0,3,0,23.0,0,0,S,44.93
351,0,1,0,,0,0,S,170.45
352,0,3,0,15.0,1,1,C,14.08
353,0,3,0,25.0,1,0,S,43.34
354,0,3,0,,0,0,C,35.19
355,0,3,0,28.0,0,0,S,46.27
356,1,1,1,22.0,0,1,S,133.93
357,0,2,1,38.0,0,0,S,63.31
358,1,3,1,,0,0,Q,33.00
359,1,3,1,,0,0,Q,33.00
360,0,3,0,40.0,1,4,S,22.65
361,0,2,0,29.0,1,0,C,67.50
362,0,3,1,45.0,0,1,C,35.20
363,0,3,0,35.0,0,0,S,34.33
364,0,3,0,,1,0,Q,32.46
365,0,3,0,30.0,0,0,S,35.31
366,1,1,1,60.0,1,0,C,37.63
367,1,3,1,,0,0,C,35.21
368,1,3,1,,0,0,Q,32.46
369,1,1,1,24.0,0,0,C,168.75
370,1,1,0,25.0,1,0,C,27.72
371,0,3,0,18.0,1,0,S,15.82
372,0,3,0,19.0,0,0,S,39.20
373,0,1,0,22.0,0,0,C,220.18
374,0,3,1,3.0,3,1,S,25.66
375,1,1,1,,1,0,C,200.09
376,1,3,1,22.0,0,0,S,35.31
377,0,1,0,27.0,0,2,C,105.75
378,0,3,0,20.0,0,0,C,19.54
379,0,3,0,19.0,0,0,S,37.86
380,1,1,1,42.0,0,0,C,277.01
381,1,3,1,1.0,0,2,C,30.66
382,0,3,0,32.0,0,0,S,38.59
383,1,1,1,35.0,1,0,S,126.62
384,0,3,0,,0,0,S,38.45
385,0,2,0,18.0,0,0,S,71.59
386,0,3,0,1.0,5,2,S,38.07
387,1,2,1,36.0,0,0,S,63.31
388,0,3,0,,0,0,Q,32.37
389,1,2,1,17.0,0,0,C,58.44
390,1,1,0,36.0,1,2,S,146.10
391,1,3,0,21.0,0,0,S,37.97
392,0,3,0,28.0,2,0,S,12.86
393,1,1,1,23.0,1,0,C,37.76
394,1,3,1,24.0,0,2,S,40.66
395,0,3,0,22.0,0,0,S,37.97
396,0,3,1,31.0,0,0,S,38.25
397,0,2,0,46.0,0,0,S,63.31
398,0,2,0,23.0,0,0,S,51.14
399,1,2,1,28.0,0,0,S,61.61
400,1,3,0,39.0,0,0,S,38.59
401,0,3,0,26.0,0,0,S,39.20
402,0,3,1,21.0,1,0,S,23.92
403,0,3,0,28.0,1,0,S,38.59
404,0,3,1,20.0,0,0,S,42.19
405,0,2,0,34.0,1,0,S,51.14
406,0,3,0,51.0,0,0,S,37.74
407,1,2,0,3.0,1,1,S,30.44
408,0,3,0,21.0,0,0,S,37.86
409,0,3,1,,3,1,S,31.01
410,0,3,0,,0,0,S,38.45
411,0,3,0,,0,0,Q,28.72
412,1,1,1,33.0,1,0,Q,188.47
413,0,2,0,,0,0,S,0.00
414,1,3,0,44.0,0,0,S,38.59
415,0,3,1,,0,0,S,39.20
416,1,2,1,34.0,1,1,S,63.31
417,1,2,1,18.0,0,2,S,25.32
418,0,2,0,30.0,0,0,S,63.31
419,0,3,1,10.0,0,2,S,39.20
420,0,3,0,,0,0,C,38.45
421,0,3,0,21.0,0,0,Q,32.39
422,0,3,0,29.0,0,0,S,38.35
423,0,3,1,28.0,1,1,S,28.05
424,0,3,0,18.0,1,1,S,39.37
425,0,3,0,,0,0,S,35.31
426,1,2,1,28.0,1,0,S,63.31
427,1,2,1,19.0,0,0,S,63.31
428,0,3,0,,0,0,Q,32.46
429,1,3,0,32.0,0,0,S,39.20
430,1,1,0,28.0,0,0,S,129.30
431,1,3,1,,1,0,S,39.20
432,1,2,1,42.0,1,0,S,63.31
433,0,3,0,17.0,0,0,S,34.70
434,0,1,0,50.0,1,0,S,136.12
435,1,1,1,14.0,1,2,S,146.10
436,0,3,1,21.0,2,2,S,41.85
437,1,2,1,24.0,2,3,S,20.29
438,0,1,0,64.0,1,4,S,320.20
439,0,2,0,31.0,0,0,S,51.14
440,1,2,1,45.0,1,1,S,42.61
441,0,3,0,20.0,0,0,S,46.27
442,0,3,0,25.0,1,0,S,18.93
443,1,2,1,28.0,0,0,S,63.31
444,1,3,0,,0,0,S,39.51
445,1,1,0,4.0,0,2,S,159.46
446,1,2,1,13.0,0,1,S,47.48
447,1,1,0,34.0,0,0,S,129.30
448,1,3,1,5.0,2,1,C,23.45
449,1,1,0,52.0,0,0,S,148.54
450,0,2,0,36.0,1,2,S,45.05
451,0,3,0,,1,0,S,48.62
452,0,1,0,30.0,0,0,C,27.75
453,1,1,0,49.0,1,0,C,44.55
454,0,3,0,,0,0,S,39.20
455,1,3,0,29.0,0,0,C,38.45
456,0,1,0,65.0,0,0,S,129.30
457,1,1,1,,1,0,S,126.29
458,1,2,1,50.0,0,0,S,51.14
459,0,3,0,,0,0,Q,32.46
460,1,1,0,48.0,0,0,S,129.30
461,0,3,0,34.0,0,0,S,39.20
462,0,1,0,47.0,0,0,S,187.50
463,0,2,0,48.0,0,0,S,63.31
464,0,3,0,,0,0,S,39.20
465,0,3,0,38.0,0,0,S,34.33
466,0,2,0,,0,0,S,0.00
467,0,1,0,56.0,0,0,S,129.30
468,0,3,0,,0,0,Q,32.35
469,1,3,1,0.75,2,1,C,23.45
470,0,3,0,,0,0,S,35.31
471,0,3,0,38.0,0,0,S,42.19
472,1,2,1,33.0,1,2,S,45.05
473,1,2,1,23.0,0,0,C,67.17
474,0,3,1,22.0,0,0,S,47.91
475,0,1,0,,0,0,S,126.62
476,0,2,0,34.0,1,0,S,51.14
477,0,3,0,29.0,1,0,S,17.16
478,0,3,0,22.0,0,0,S,36.63
479,1,3,1,2.0,0,1,S,39.89
480,0,3,0,9.0,5,2,S,38.07
481,0,2,0,,0,0,S,0.00
482,0,3,0,50.0,0,0,S,39.20
483,1,3,1,63.0,0,0,S,46.69
484,1,1,0,25.0,1,0,C,45.54
485,0,3,1,,3,1,S,31.01
486,1,1,1,35.0,1,0,S,219.15
487,0,1,0,58.0,0,0,C,29.70
488,0,3,0,30.0,0,0,S,39.20
489,1,3,0,9.0,1,1,S,38.72
490,0,3,0,,1,0,S,48.62
491,0,3,0,21.0,0,0,S,35.31
492,0,1,0,55.0,0,0,S,148.54
493,0,1,0,71.0,0,0,C,241.09
494,0,3,0,21.0,0,0,S,39.20
495,0,3,0,,0,0,C,35.21
496,1,1,1,54.0,1,0,C,39.13
497,0,3,0,,0,0,S,73.54
498,0,1,1,25.0,1,2,S,184.51
499,0,3,0,24.0,0,0,S,37.97
500,0,3,0,17.0,0,0,S,42.19
501,0,3,1,21.0,0,0,Q,32.46
502,0,3,1,,0,0,Q,31.95
503,0,3,1,37.0,0,0,S,46.69
504,1,1,1,16.0,0,0,S,140.42
505,0,1,0,18.0,1,0,C,265.17
506,1,2,1,33.0,0,2,S,63.31
507,1,1,0,,0,0,S,129.30
508,0,3,0,28.0,0,0,S,109.70
509,1,3,0,26.0,0,0,S,39.30
510,1,3,0,29.0,0,0,Q,32.46
511,0,3,0,,0,0,S,39.20
512,1,1,0,36.0,0,0,S,128.02
513,1,1,1,54.0,1,0,C,144.64
514,0,3,0,24.0,0,0,S,36.50
515,0,1,0,47.0,0,0,S,165.68
516,1,2,1,34.0,0,0,S,51.14
517,0,3,0,,0,0,Q,33.72
518,1,2,1,36.0,1,0,S,63.31
519,0,3,0,32.0,0,0,S,38.45
520,1,1,1,30.0,0,0,S,227.67
521,0,3,0,22.0,0,0,S,38.45
522,0,3,0,,0,0,C,35.19
523,1,1,1,44.0,0,1,C,28.99
524,0,3,0,,0,0,C,35.21
525,0,3,0,40.5,0,0,Q,32.46
526,1,2,1,50.0,0,0,S,51.14
527,0,1,0,,0,0,S,1.080.06
528,0,3,0,39.0,0,0,S,38.59
529,0,2,0,23.0,2,1,S,16.00
530,1,2,1,2.0,1,1,S,63.31
531,0,3,0,,0,0,C,35.21
532,0,3,0,17.0,1,1,C,14.08
533,1,3,1,,0,2,C,54.44
534,0,3,1,30.0,0,0,S,42.19
535,1,2,1,7.0,0,2,S,42.61
536,0,1,0,45.0,0,0,S,129.30
537,1,1,1,30.0,0,0,C,259.14
538,0,3,0,,0,0,S,70.62
539,1,1,1,22.0,0,2,C,19.80
540,1,1,1,36.0,0,2,S,138.31
541,0,3,1,9.0,4,2,S,21.76
542,0,3,1,11.0,4,2,S,21.76
543,1,2,0,32.0,1,0,S,63.31
544,0,1,0,50.0,1,0,C,259.14
545,0,1,0,64.0,0,0,S,126.62
546,1,2,1,19.0,1,0,S,63.31
547,1,2,0,,0,0,C,67.51
548,0,3,0,33.0,1,1,S,33.32
549,1,2,0,8.0,1,1,S,89.49
550,1,1,0,17.0,0,2,C,27.72
551,0,2,0,27.0,0,0,S,126.62
552,0,3,0,,0,0,Q,32.79
553,1,3,0,22.0,0,0,C,35.19
554,1,3,1,22.0,0,0,S,37.86
555,0,1,0,62.0,0,0,S,129.30
556,1,1,1,48.0,1,0,C,19.80
557,0,1,0,,0,0,C,277.01
558,1,1,1,39.0,1,1,S,129.30
559,1,3,1,36.0,1,0,S,42.37
560,0,3,0,,0,0,Q,32.46
561,0,3,0,40.0,0,0,S,38.45
562,0,2,0,28.0,0,0,S,65.75
563,0,3,0,,0,0,S,39.20
564,0,3,1,,0,0,S,39.20
565,0,3,0,24.0,2,0,S,39.20
566,0,3,0,19.0,0,0,S,38.45
567,0,3,1,29.0,0,4,S,25.66
568,0,3,0,,0,0,C,35.21
569,1,3,0,32.0,0,0,S,38.25
570,1,2,0,62.0,0,0,S,51.14
571,1,1,1,53.0,2,0,S,83.57
572,1,1,0,36.0,0,0,S,128.51
573,1,3,1,,0,0,Q,32.46
574,0,3,0,16.0,0,0,S,39.20
575,0,3,0,19.0,0,0,S,35.31
576,1,2,1,34.0,0,0,S,63.31
577,1,1,1,39.0,1,0,S,136.12
578,0,3,1,,1,0,C,35.21
579,1,3,0,32.0,0,0,S,38.59
580,1,2,1,25.0,1,1,S,73.05
581,1,1,1,39.0,1,1,C,27.72
582,0,2,0,54.0,0,0,S,63.31
583,0,1,0,36.0,0,0,C,40.13
584,0,3,0,,0,0,C,42.43
585,1,1,1,18.0,0,2,S,129.30
586,0,2,0,47.0,0,0,S,73.05
587,1,1,0,60.0,1,1,C,31.68
588,0,3,0,22.0,0,0,S,39.20
589,0,3,0,,0,0,S,39.20
590,0,3,0,35.0,0,0,S,34.70
591,1,1,1,52.0,1,0,C,39.13
592,0,3,0,47.0,0,0,S,35.31
593,0,3,1,,0,2,Q,12.98
594,0,2,0,37.0,1,0,S,63.31
595,0,3,0,36.0,1,1,S,39.20
596,1,2,1,,0,0,S,53.57
597,0,3,0,49.0,0,0,S,0.00
598,0,3,0,,0,0,C,35.19
599,1,1,0,49.0,1,0,C,138.62
600,1,2,1,24.0,2,1,S,37.57
601,0,3,0,,0,0,S,38.45
602,0,1,0,,0,0,S,206.49
603,0,3,0,44.0,0,0,S,39.20
604,1,1,0,35.0,0,0,C,26.55
605,0,3,0,36.0,1,0,S,37.86
606,0,3,0,30.0,0,0,S,38.45
607,1,1,0,27.0,0,0,S,148.54
608,1,2,1,22.0,1,2,C,67.50
609,1,1,1,40.0,0,0,S,249.12
610,0,3,1,39.0,1,5,S,21.76
611,0,3,0,,0,0,S,34.33
612,1,3,1,,1,0,Q,32.46
613,0,3,0,,0,0,Q,32.46
614,0,3,0,35.0,0,0,S,39.20
615,1,2,1,24.0,1,2,S,105.52
616,0,3,0,34.0,1,1,S,28.05
617,0,3,1,26.0,1,0,S,39.20
618,1,2,1,4.0,2,1,S,75.97
619,0,2,0,26.0,0,0,S,51.14
620,0,3,0,27.0,1,0,C,35.20
621,1,1,0,42.0,1,0,S,127.97
622,1,3,0,20.0,1,1,C,30.66
623,0,3,0,21.0,0,0,S,38.25
624,0,3,0,21.0,0,0,S,39.20
625,0,1,0,61.0,0,0,S,157.40
626,0,2,0,57.0,0,0,Q,51.72
627,1,1,1,21.0,0,0,S,126.55
628,0,3,0,26.0,0,0,S,38.45
629,0,3,0,,0,0,Q,32.39
630,1,1,0,80.0,0,0,S,146.10
631,0,3,0,51.0,0,0,S,34.35
632,1,1,0,32.0,0,0,C,30.50
633,0,1,0,,0,0,S,0.00
634,0,3,1,9.0,3,2,S,22.65
635,1,2,1,28.0,0,0,S,63.31
636,0,3,0,32.0,0,0,S,38.59
637,0,2,0,31.0,1,1,S,42.61
638,0,3,1,41.0,0,5,S,32.21
639,0,3,0,,1,0,S,39.20
640,0,3,0,20.0,0,0,S,38.25
641,1,1,1,24.0,0,0,C,168.75
642,0,3,1,2.0,3,2,S,22.65
643,1,3,0,,0,0,S,39.30
644,1,3,1,0.75,2,1,C,23.45
645,1,1,0,48.0,1,0,C,124.56
646,0,3,0,19.0,0,0,S,38.45
647,1,1,0,56.0,0,0,C,35.50
