PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Embarked,FareC,Child
65,1,3,0,,1,1,C,37.12,1
66,1,2,1,29.0,0,0,S,51.14,0
67,0,3,0,19.0,0,0,S,39.73,0
68,1,3,1,17.0,4,2,S,8.58,1
69,0,3,0,26.0,2,0,S,14.06,0
70,0,2,0,32.0,0,0,S,51.14,0
71,0,3,1,16.0,5,2,S,38.07,1
72,0,2,0,21.0,0,0,S,71.59,0
73,0,3,0,26.0,1,0,C,35.20,0
74,1,3,0,32.0,0,0,S,39.30,0
75,0,3,0,25.0,0,0,S,37.26,0
76,0,3,0,,0,0,S,38.45,0
77,0,3,0,,0,0,S,39.20,0
78,1,2,0,0.83,0,2,S,56.49,1
79,1,3,1,30.0,0,0,S,30.38,0
80,0,3,0,22.0,0,0,S,43.83,0
81,1,3,0,29.0,0,0,S,46.27,0
82,1,3,1,,0,0,Q,32.62,0
83,0,1,0,28.0,0,0,S,229.38,0
84,1,2,1,17.0,0,0,S,51.14,0
85,1,3,1,33.0,3,0,S,19.30,0
86,0,3,0,16.0,1,3,S,41.85,0
87,0,3,0,,0,0,S,39.20,0
88,1,1,1,23.0,3,2,S,320.20,1
89,0,3,0,24.0,0,0,S,39.20,0
90,0,3,0,29.0,0,0,S,39.20,0
91,0,3,0,20.0,0,0,S,38.25,0
92,0,1,0,46.0,1,0,S,148.96,0
93,0,3,0,26.0,1,2,S,33.40,0
94,0,3,0,59.0,0,0,S,35.31,0
95,0,3,0,,0,0,S,39.20,0
96,0,1,0,71.0,0,0,C,168.77,0
97,1,1,0,23.0,0,1,C,205.70,0
98,1,2,1,34.0,0,1,S,56.01,0
99,0,2,0,34.0,1,0,S,63.31,0
100,0,3,1,28.0,0,0,S,38.45,0
101,0,3,0,,0,0,S,38.45,0
102,0,1,0,21.0,0,1,S,188.20,0
103,0,3,0,33.0,0,0,S,42.15,0
104,0,3,0,37.0,2,0,S,12.86,0
105,0,3,0,28.0,0,0,S,38.45,0
106,1,3,1,21.0,0,0,S,37.26,0
107,1,3,0,,0,0,S,37.86,0
108,0,3,0,38.0,0,0,S,38.45,0
109,1,3,1,,1,0,Q,33.72,0
110,0,1,0,47.0,0,0,S,126.62,0
111,0,3,1,14.5,1,0,C,35.20,0
112,0,3,0,22.0,0,0,S,39.20,0
113,0,3,1,20.0,1,0,S,23.92,0
114,0,3,1,17.0,0,0,C,35.21,0
115,0,3,0,21.0,0,0,S,38.59,0
116,0,3,0,70.5,0,0,Q,32.46,0
117,0,2,0,29.0,1,0,S,51.14,0
118,0,1,0,24.0,0,1,C,602.71,0
119,0,3,1,2.0,4,2,S,21.76,1
120,0,2,0,21.0,2,0,S,71.59,0
121,0,3,0,,0,0,S,39.20,0
122,0,2,0,32.5,1,0,C,15.04,0
123,1,2,1,32.5,0,0,S,63.31,0
124,0,1,0,54.0,0,1,S,188.20,0
125,1,3,0,12.0,1,0,C,27.37,0
126,0,3,0,,0,0,Q,32.46,0
127,1,3,0,24.0,0,0,S,34.78,0
128,1,3,1,,1,1,C,54.44,1
129,0,3,0,45.0,0,0,S,33.97,0
130,0,3,0,33.0,0,0,C,38.45,0
131,0,3,0,20.0,0,0,S,34.33,0
132,0,3,1,47.0,1,0,S,35.31,0
133,1,2,1,29.0,1,0,S,63.31,0
134,0,2,0,25.0,0,0,S,63.31,0
135,0,2,0,23.0,0,0,C,73.27,0
136,1,1,1,19.0,0,2,S,51.20,1
137,0,1,0,37.0,1,0,S,129.30,0
138,0,3,0,16.0,0,0,S,22.44,0
139,0,1,0,24.0,0,0,C,192.85,0
140,0,3,1,,0,2,C,37.12,0
141,1,3,1,22.0,0,0,S,37.74,0
142,1,3,1,24.0,1,0,S,38.59,0
143,0,3,0,19.0,0,0,Q,28.27,0
144,0,2,0,18.0,0,0,S,56.01,0
145,0,2,0,19.0,1,1,S,71.59,0
146,1,3,0,27.0,0,0,S,37.97,0
147,0,3,1,9.0,2,2,S,41.85,1
148,0,2,0,36.5,0,2,S,42.21,0
149,0,2,0,42.0,0,0,S,63.31,0
150,0,2,0,51.0,0,0,S,61.00,0
151,1,1,1,22.0,1,0,S,162.17,0
152,0,3,0,55.5,0,0,S,39.20,0
153,0,3,0,40.5,0,2,S,35.31,0
154,0,3,0,,0,0,S,35.61,0
155,0,1,0,51.0,0,1,C,199.28,0
156,1,3,1,16.0,0,0,Q,32.39,0
157,0,3,0,30.0,0,0,S,39.20,0
158,0,3,0,,0,0,S,42.19,0
159,0,3,0,,8,2,S,48.39,1
160,0,3,0,44.0,0,1,S,52.27,0
161,1,2,1,40.0,0,0,S,76.70,0
162,0,3,0,26.0,0,0,S,37.86,0
163,0,3,0,17.0,0,0,S,42.19,0
164,0,3,0,1.0,4,1,S,32.21,1
165,1,3,0,9.0,0,2,S,33.32,1
166,1,1,1,,0,1,S,133.93,0
167,0,3,1,45.0,1,4,S,22.65,0
168,0,1,0,,0,0,S,126.25,0
169,0,3,0,28.0,0,0,S,39.30,0
170,0,1,0,61.0,0,0,S,163.15,0
171,0,3,0,4.0,4,1,Q,24.40,1
172,1,3,1,1.0,1,1,S,18.07,1
173,0,3,0,21.0,0,0,S,38.59,0
174,0,1,0,56.0,0,0,C,30.70,0
175,0,3,0,18.0,1,1,S,15.30,0
176,0,3,0,,3,1,S,31.01,1
177,0,1,1,50.0,0,0,C,139.83,0
178,0,2,0,30.0,0,0,S,63.31,0
179,0,3,0,36.0,0,0,S,0.00,0
180,0,3,1,,8,2,S,48.39,1
181,0,2,0,,0,0,C,73.29,0
182,0,3,0,9.0,4,2,S,33.97,1
183,1,2,0,1.0,2,1,S,75.97,1
184,1,3,1,4.0,0,2,S,42.90,1
185,0,1,0,,0,0,S,243.50,0
186,1,3,1,,1,0,Q,32.46,0
187,1,1,0,45.0,0,0,S,129.30,0
188,0,3,0,40.0,1,1,Q,25.97,0
189,0,3,0,36.0,0,0,S,38.45,0
190,1,2,1,32.0,0,0,S,63.31,0
191,0,2,0,19.0,0,0,S,63.31,0
192,1,3,1,19.0,1,0,S,19.12,0
193,1,2,0,3.0,1,1,S,42.21,1
194,1,1,1,44.0,0,0,C,135.00,0
195,1,1,1,58.0,0,0,C,356.78,0
196,0,3,0,,0,0,Q,32.46,0
197,0,3,0,42.0,0,1,S,27.29,0
198,1,3,1,,0,0,Q,32.46,0
199,0,2,1,24.0,0,0,S,63.31,0
200,0,3,0,28.0,0,0,S,46.27,0
201,0,3,0,,8,2,S,33.87,0
202,0,3,0,34.0,0,0,S,31.63,0
203,0,3,0,45.5,0,0,C,35.19,0
204,1,3,0,18.0,0,0,S,39.20,0
205,0,3,1,2.0,0,1,S,25.48,1
206,0,3,0,32.0,1,0,S,38.59,0
207,1,3,0,26.0,0,0,C,45.75,0
208,1,3,1,16.0,0,0,Q,32.46,0
209,1,1,0,40.0,0,0,C,31.00,0
210,0,3,0,24.0,0,0,S,34.33,0
211,1,2,1,35.0,0,0,S,102.27,0
212,0,3,0,22.0,0,0,S,35.31,0
213,0,2,0,30.0,0,0,S,63.31,0
214,0,3,0,,1,0,Q,16.23,0
215,1,1,1,31.0,1,0,C,37.76,0
216,1,3,1,27.0,0,0,S,38.59,0
217,0,2,0,42.0,1,0,S,65.75,0
218,1,1,1,32.0,0,0,C,76.29,0
219,0,2,0,30.0,0,0,S,51.14,0
220,1,3,0,16.0,0,0,S,39.20,0
221,0,2,0,27.0,0,0,S,63.31,0
222,0,3,0,51.0,0,0,S,39.20,0
223,0,3,0,,0,0,S,38.45,0
224,1,1,0,38.0,1,0,S,219.15,0
225,0,3,0,22.0,0,0,S,45.53,0
226,1,2,0,19.0,0,0,S,51.14,0
227,0,3,0,20.5,0,0,S,35.31,0
228,0,2,0,18.0,0,0,S,63.31,0
229,0,3,1,,3,1,S,31.01,1
230,1,1,1,35.0,1,0,S,203.26,0
231,0,3,0,29.0,0,0,S,37.86,0
232,0,2,0,59.0,0,0,S,65.75,0
233,1,3,1,5.0,4,2,S,33.97,1
234,0,2,0,24.0,0,0,S,51.14,0
235,0,3,1,,0,0,S,36.77,0
236,0,2,0,44.0,1,0,S,63.31,0
237,1,2,1,8.0,0,2,S,42.61,1
238,0,2,0,19.0,0,0,S,51.14,0
239,0,2,0,33.0,0,0,S,59.78,0
240,0,3,1,,1,0,C,35.20,0
241,1,3,1,,1,0,Q,32.46,0
242,0,2,0,29.0,0,0,S,51.14,0
243,0,3,0,22.0,0,0,S,34.70,0
244,0,3,0,30.0,0,0,C,35.19,0
245,0,1,0,44.0,2,0,Q,125.65,0
246,0,3,1,25.0,0,0,S,37.86,0
247,1,2,1,24.0,0,2,S,35.31,0
248,1,1,0,37.0,1,1,S,102.38,0
249,0,2,0,54.0,1,0,S,63.31,0
250,0,3,0,,0,0,S,35.31,0
251,0,3,1,29.0,1,1,S,20.38,0
252,0,1,0,62.0,0,0,S,129.30,0
253,0,3,0,30.0,1,0,S,39.20,0
254,0,3,1,41.0,0,2,S,49.22,0
255,1,3,1,29.0,0,2,C,37.12,0
256,1,1,1,,0,0,C,385.70,0
257,1,1,1,30.0,0,0,S,140.42,0
258,1,1,1,35.0,0,0,C,831.68,0
259,1,2,1,50.0,0,1,S,63.31,0
260,0,3,0,,0,0,Q,32.46,0
261,1,3,0,3.0,4,2,S,33.97,1
262,0,1,0,52.0,1,1,S,129.30,0
263,0,1,0,40.0,0,0,S,0.00,0
264,0,3,1,,0,0,Q,32.46,0
265,0,2,0,36.0,0,0,S,51.14,0
266,0,3,0,16.0,4,1,S,32.21,0
267,1,3,0,25.0,1,0,S,18.93,0
268,1,1,1,58.0,0,1,S,249.12,0
269,1,1,1,35.0,0,0,S,220.18,0
270,0,1,0,,0,0,S,75.49,0
271,1,3,0,25.0,0,0,S,0.00,0
272,1,2,1,41.0,0,1,S,47.48,0
273,0,1,0,37.0,0,1,C,96.43,0
274,1,3,1,,0,0,Q,32.46,0
275,1,1,1,63.0,1,0,S,126.55,0
276,0,3,1,45.0,0,0,S,37.74,0
277,0,2,0,,0,0,S,0.00,0
278,0,3,0,7.0,4,1,Q,24.40,1
279,1,3,1,35.0,1,1,S,39.45,0
280,0,3,0,65.0,0,0,Q,32.46,0
281,0,3,0,28.0,0,0,S,38.25,0
282,0,3,0,16.0,0,0,S,46.27,0
283,1,3,0,19.0,0,0,S,39.20,0
284,0,1,0,,0,0,S,126.62,0
285,0,3,0,33.0,0,0,C,42.19,0
286,1,3,0,30.0,0,0,S,46.27,0
287,0,3,0,22.0,0,0,S,38.45,0
288,1,2,0,42.0,0,0,S,63.31,0
289,1,3,1,22.0,0,0,Q,32.46,0
290,1,1,1,26.0,0,0,S,192.00,0
291,1,1,1,19.0,1,0,C,45.54,0
292,0,2,0,36.0,0,0,C,62.70,0
293,0,3,1,24.0,0,0,S,43.10,0
294,0,3,0,24.0,0,0,S,38.45,0
295,0,1,0,,0,0,C,135.00,0
296,0,3,0,23.5,0,0,C,35.21,0
297,0,1,1,2.0,1,2,S,184.51,1
298,1,1,0,,0,0,S,148.54,0
299,1,1,1,50.0,0,1,C,602.71,0
300,1,3,1,,0,0,Q,32.46,0
301,1,3,0,,2,0,Q,32.46,0
302,0,3,0,19.0,0,0,S,0.00,0
303,1,2,1,,0,0,Q,51.72,0
304,0,3,0,,0,0,S,39.20,0
305,1,1,0,0.92,1,2,S,184.51,1
306,1,1,1,,0,0,C,27.72,0
307,1,1,1,17.0,1,0,C,265.17,0
308,0,2,0,30.0,1,0,C,12.00,0
309,1,1,1,30.0,0,0,C,138.62,0
310,1,1,1,24.0,0,0,C,41.58,0
311,1,1,1,18.0,2,2,C,365.08,1
312,0,2,1,26.0,1,1,S,50.65,0
313,0,3,0,28.0,0,0,S,38.45,0
314,0,2,0,43.0,1,1,S,42.61,0
315,1,3,1,26.0,0,0,S,38.25,0
316,1,2,1,24.0,1,0,S,63.31,0
317,0,2,0,54.0,0,0,S,68.18,0
318,1,1,1,31.0,0,2,S,321.16,1
319,1,1,1,40.0,1,1,C,53.80,0
320,0,3,0,22.0,0,0,S,35.31,0
321,0,3,0,27.0,0,0,S,38.45,0
322,1,2,1,30.0,0,0,Q,51.72,0
323,1,2,1,22.0,1,1,S,56.49,0
324,0,3,0,,8,2,S,33.87,0
325,1,1,1,36.0,0,0,C,220.18,0
326,0,3,0,61.0,0,0,S,30.38,0
327,1,2,1,36.0,0,0,S,63.31,0
328,1,3,1,31.0,1,1,S,33.32,0
329,1,1,1,16.0,0,1,C,28.99,1
330,1,3,1,,2,0,Q,32.46,0
331,0,1,0,45.5,0,0,S,138.80,0
332,0,1,0,38.0,0,1,S,249.12,0
333,0,3,0,16.0,2,0,S,29.22,0
334,1,1,1,,1,0,S,325.44,0
335,0,3,0,,0,0,S,38.45,0
336,0,1,0,29.0,1,0,S,162.17,0
337,1,1,1,41.0,0,0,C,67.25,0
338,1,3,0,45.0,0,0,S,39.20,0
339,0,1,0,45.0,0,0,S,172.89,0
340,1,2,0,2.0,1,1,S,42.21,1
341,1,1,1,24.0,3,2,S,320.20,1
342,0,2,0,28.0,0,0,S,63.31,0
343,0,2,0,25.0,0,0,S,63.31,0
344,0,2,0,36.0,0,0,S,63.31,0
345,1,2,1,24.0,0,0,S,63.31,0
346,1,2,1,40.0,0,0,S,63.31,0
347,1,3,1,,1,0,S,39.20,0
348,1,3,0,3.0,1,1,S,38.72,1
349,0,3,0,42.0,0,0,S,42.19,0
350,0,3,0,23.0,0,0,S,44.93,0
351,0,1,0,,0,0,S,170.45,0
352,0,3,0,15.0,1,1,C,14.08,0
353,0,3,0,25.0,1,0,S,43.34,0
354,0,3,0,,0,0,C,35.19,0
355,0,3,0,28.0,0,0,S,46.27,0
356,1,1,1,22.0,0,1,S,133.93,1
357,0,2,1,38.0,0,0,S,63.31,0
358,1,3,1,,0,0,Q,33.00,0
359,1,3,1,,0,0,Q,33.00,0
360,0,3,0,40.0,1,4,S,22.65,0
361,0,2,0,29.0,1,0,C,67.50,0
362,0,3,1,45.0,0,1,C,35.20,0
363,0,3,0,35.0,0,0,S,34.33,0
364,0,3,0,,1,0,Q,32.46,0
365,0,3,0,30.0,0,0,S,35.31,0
366,1,1,1,60.0,1,0,C,37.63,0
367,1,3,1,,0,0,C,35.21,0
368,1,3,1,,0,0,Q,32.46,0
369,1,1,1,24.0,0,0,C,168.75,0
370,1,1,0,25.0,1,0,C,27.72,0
371,0,3,0,18.0,1,0,S,15.82,0
372,0,3,0,19.0,0,0,S,39.20,0
373,0,1,0,22.0,0,0,C,220.18,0
374,0,3,1,3.0,3,1,S,25.66,1
375,1,1,1,,1,0,C,200.09,0
376,1,3,1,22.0,0,0,S,35.31,0
377,0,1,0,27.0,0,2,C,105.75,0
378,0,3,0,20.0,0,0,C,19.54,0
379,0,3,0,19.0,0,0,S,37.86,0
380,1,1,1,42.0,0,0,C,277.01,0
381,1,3,1,1.0,0,2,C,30.66,1
382,0,3,0,32.0,0,0,S,38.59,0
383,1,1,1,35.0,1,0,S,126.62,0
384,0,3,0,,0,0,S,38.45,0
385,0,2,0,18.0,0,0,S,71.59,0
386,0,3,0,1.0,5,2,S,38.07,1
387,1,2,1,36.0,0,0,S,63.31,0
388,0,3,0,,0,0,Q,32.37,0
389,1,2,1,17.0,0,0,C,58.44,0
390,1,1,0,36.0,1,2,S,146.10,0
391,1,3,0,21.0,0,0,S,37.97,0
392,0,3,0,28.0,2,0,S,12.86,0
393,1,1,1,23.0,1,0,C,37.76,0
394,1,3,1,24.0,0,2,S,40.66,0
395,0,3,0,22.0,0,0,S,37.97,0
396,0,3,1,31.0,0,0,S,38.25,0
397,0,2,0,46.0,0,0,S,63.31,0
398,0,2,0,23.0,0,0,S,51.14,0
399,1,2,1,28.0,0,0,S,61.61,0
400,1,3,0,39.0,0,0,S,38.59,0
401,0,3,0,26.0,0,0,S,39.20,0
402,0,3,1,21.0,1,0,S,23.92,0
403,0,3,0,28.0,1,0,S,38.59,0
404,0,3,1,20.0,0,0,S,42.19,0
405,0,2,0,34.0,1,0,S,51.14,0
406,0,3,0,51.0,0,0,S,37.74,0
407,1,2,0,3.0,1,1,S,30.44,1
408,0,3,0,21.0,0,0,S,37.86,0
409,0,3,1,,3,1,S,31.01,1
410,0,3,0,,0,0,S,38.45,0
411,0,3,0,,0,0,Q,28.72,0
412,1,1,1,33.0,1,0,Q,188.47,0
413,0,2,0,,0,0,S,0.00,0
414,1,3,0,44.0,0,0,S,38.59,0
415,0,3,1,,0,0,S,39.20,0
416,1,2,1,34.0,1,1,S,63.31,0
417,1,2,1,18.0,0,2,S,25.32,1
418,0,2,0,30.0,0,0,S,63.31,0
419,0,3,1,10.0,0,2,S,39.20,1
420,0,3,0,,0,0,C,38.45,0
421,0,3,0,21.0,0,0,Q,32.39,0
422,0,3,0,29.0,0,0,S,38.35,0
423,0,3,1,28.0,1,1,S,28.05,0
424,0,3,0,18.0,1,1,S,39.37,0
425,0,3,0,,0,0,S,35.31,0
426,1,2,1,28.0,1,0,S,63.31,0
427,1,2,1,19.0,0,0,S,63.31,0
428,0,3,0,,0,0,Q,32.46,0
429,1,3,0,32.0,0,0,S,39.20,0
430,1,1,0,28.0,0,0,S,129.30,0
431,1,3,1,,1,0,S,39.20,0
432,1,2,1,42.0,1,0,S,63.31,0
433,0,3,0,17.0,0,0,S,34.70,0
434,0,1,0,50.0,1,0,S,136.12,0
435,1,1,1,14.0,1,2,S,146.10,1
436,0,3,1,21.0,2,2,S,41.85,1
437,1,2,1,24.0,2,3,S,20.29,0
438,0,1,0,64.0,1,4,S,320.20,0
439,0,2,0,31.0,0,0,S,51.14,0
440,1,2,1,45.0,1,1,S,42.61,0
441,0,3,0,20.0,0,0,S,46.27,0
442,0,3,0,25.0,1,0,S,18.93,0
443,1,2,1,28.0,0,0,S,63.31,0
444,1,3,0,,0,0,S,39.51,0
445,1,1,0,4.0,0,2,S,159.46,1
446,1,2,1,13.0,0,1,S,47.48,1
447,1,1,0,34.0,0,0,S,129.30,0
448,1,3,1,5.0,2,1,C,23.45,1
449,1,1,0,52.0,0,0,S,148.54,0
450,0,2,0,36.0,1,2,S,45.05,0
451,0,3,0,,1,0,S,48.62,0
452,0,1,0,30.0,0,0,C,27.75,0
453,1,1,0,49.0,1,0,C,44.55,0
454,0,3,0,,0,0,S,39.20,0
455,1,3,0,29.0,0,0,C,38.45,0
456,0,1,0,65.0,0,0,S,129.30,0
457,1,1,1,,1,0,S,126.29,0
458,1,2,1,50.0,0,0,S,51.14,0
459,0,3,0,,0,0,Q,32.46,0
460,1,1,0,48.0,0,0,S,129.30,0
461,0,3,0,34.0,0,0,S,39.20,0
462,0,1,0,47.0,0,0,S,187.50,0
463,0,2,0,48.0,0,0,S,63.31,0
464,0,3,0,,0,0,S,39.20,0
465,0,3,0,38.0,0,0,S,34.33,0
466,0,2,0,,0,0,S,0.00,0
467,0,1,0,56.0,0,0,S,129.30,0
468,0,3,0,,0,0,Q,32.35,0
469,1,3,1,0.75,2,1,C,23.45,1
470,0,3,0,,0,0,S,35.31,0
471,0,3,0,38.0,0,0,S,42.19,0
472,1,2,1,33.0,1,2,S,45.05,0
473,1,2,1,23.0,0,0,C,67.17,0
474,0,3,1,22.0,0,0,S,47.91,0
475,0,1,0,,0,0,S,126.62,0
476,0,2,0,34.0,1,0,S,51.14,0
477,0,3,0,29.0,1,0,S,17.16,0
478,0,3,0,22.0,0,0,S,36.63,0
479,1,3,1,2.0,0,1,S,39.89,1
480,0,3,0,9.0,5,2,S,38.07,1
481,0,2,0,,0,0,S,0.00,0
482,0,3,0,50.0,0,0,S,39.20,0
483,1,3,1,63.0,0,0,S,46.69,0
484,1,1,0,25.0,1,0,C,45.54,0
485,0,3,1,,3,1,S,31.01,1
486,1,1,1,35.0,1,0,S,219.15,0
487,0,1,0,58.0,0,0,C,29.70,0
488,0,3,0,30.0,0,0,S,39.20,0
489,1,3,0,9.0,1,1,S,38.72,1
490,0,3,0,,1,0,S,48.62,0
491,0,3,0,21.0,0,0,S,35.31,0
492,0,1,0,55.0,0,0,S,148.54,0
493,0,1,0,71.0,0,0,C,241.09,0
494,0,3,0,21.0,0,0,S,39.20,0
495,0,3,0,,0,0,C,35.21,0
496,1,1,1,54.0,1,0,C,39.13,0
497,0,3,0,,0,0,S,73.54,0
498,0,1,1,25.0,1,2,S,184.51,0
499,0,3,0,24.0,0,0,S,37.97,0
500,0,3,0,17.0,0,0,S,42.19,0
501,0,3,1,21.0,0,0,Q,32.46,0
502,0,3,1,,0,0,Q,31.95,0
503,0,3,1,37.0,0,0,S,46.69,0
504,1,1,1,16.0,0,0,S,140.42,0
505,0,1,0,18.0,1,0,C,265.17,0
506,1,2,1,33.0,0,2,S,63.31,0
507,1,1,0,,0,0,S,129.30,0
508,0,3,0,28.0,0,0,S,109.70,0
509,1,3,0,26.0,0,0,S,39.30,0
510,1,3,0,29.0,0,0,Q,32.46,0
511,0,3,0,,0,0,S,39.20,0
512,1,1,0,36.0,0,0,S,128.02,0
513,1,1,1,54.0,1,0,C,144.64,0
514,0,3,0,24.0,0,0,S,36.50,0
515,0,1,0,47.0,0,0,S,165.68,0
516,1,2,1,34.0,0,0,S,51.14,0
517,0,3,0,,0,0,Q,33.72,0
518,1,2,1,36.0,1,0,S,63.31,0
519,0,3,0,32.0,0,0,S,38.45,0
520,1,1,1,30.0,0,0,S,227.67,0
521,0,3,0,22.0,0,0,S,38.45,0
522,0,3,0,,0,0,C,35.19,0
523,1,1,1,44.0,0,1,C,28.99,0
524,0,3,0,,0,0,C,35.21,0
525,0,3,0,40.5,0,0,Q,32.46,0
526,1,2,1,50.0,0,0,S,51.14,0
527,0,1,0,,0,0,S,1.080.06,0
528,0,3,0,39.0,0,0,S,38.59,0
529,0,2,0,23.0,2,1,S,16.00,0
530,1,2,1,2.0,1,1,S,63.31,1
531,0,3,0,,0,0,C,35.21,0
532,0,3,0,17.0,1,1,C,14.08,0
533,1,3,1,,0,2,C,54.44,0
534,0,3,1,30.0,0,0,S,42.19,0
535,1,2,1,7.0,0,2,S,42.61,1
536,0,1,0,45.0,0,0,S,129.30,0
537,1,1,1,30.0,0,0,C,259.14,0
538,0,3,0,,0,0,S,70.62,0
539,1,1,1,22.0,0,2,C,19.80,1
540,1,1,1,36.0,0,2,S,138.31,1
541,0,3,1,9.0,4,2,S,21.76,1
542,0,3,1,11.0,4,2,S,21.76,1
543,1,2,0,32.0,1,0,S,63.31,0
544,0,1,0,50.0,1,0,C,259.14,0
545,0,1,0,64.0,0,0,S,126.62,0
546,1,2,1,19.0,1,0,S,63.31,0
547,1,2,0,,0,0,C,67.51,0
548,0,3,0,33.0,1,1,S,33.32,0
549,1,2,0,8.0,1,1,S,89.49,1
550,1,1,0,17.0,0,2,C,27.72,0
551,0,2,0,27.0,0,0,S,126.62,0
552,0,3,0,,0,0,Q,32.79,0
553,1,3,0,22.0,0,0,C,35.19,0
554,1,3,1,22.0,0,0,S,37.86,0
555,0,1,0,62.0,0,0,S,129.30,0
556,1,1,1,48.0,1,0,C,19.80,0
557,0,1,0,,0,0,C,277.01,0
558,1,1,1,39.0,1,1,S,129.30,0
559,1,3,1,36.0,1,0,S,42.37,0
560,0,3,0,,0,0,Q,32.46,0
561,0,3,0,40.0,0,0,S,38.45,0
562,0,2,0,28.0,0,0,S,65.75,0
563,0,3,0,,0,0,S,39.20,0
564,0,3,1,,0,0,S,39.20,0
565,0,3,0,24.0,2,0,S,39.20,0
566,0,3,0,19.0,0,0,S,38.45,0
567,0,3,1,29.0,0,4,S,25.66,0
568,0,3,0,,0,0,C,35.21,0
569,1,3,0,32.0,0,0,S,38.25,0
570,1,2,0,62.0,0,0,S,51.14,0
571,1,1,1,53.0,2,0,S,83.57,0
572,1,1,0,36.0,0,0,S,128.51,0
573,1,3,1,,0,0,Q,32.46,0
574,0,3,0,16.0,0,0,S,39.20,0
575,0,3,0,19.0,0,0,S,35.31,0
576,1,2,1,34.0,0,0,S,63.31,0
577,1,1,1,39.0,1,0,S,136.12,0
578,0,3,1,,1,0,C,35.21,0
579,1,3,0,32.0,0,0,S,38.59,0
580,1,2,1,25.0,1,1,S,73.05,1
581,1,1,1,39.0,1,1,C,27.72,0
582,0,2,0,54.0,0,0,S,63.31,0
583,0,1,0,36.0,0,0,C,40.13,0
584,0,3,0,,0,0,C,42.43,0
585,1,1,1,18.0,0,2,S,129.30,1
586,0,2,0,47.0,0,0,S,73.05,0
587,1,1,0,60.0,1,1,C,31.68,0
588,0,3,0,22.0,0,0,S,39.20,0
589,0,3,0,,0,0,S,39.20,0
590,0,3,0,35.0,0,0,S,34.70,0
591,1,1,1,52.0,1,0,C,39.13,0
